Jour;Catégorie client;Puissance moyenne journalière (W)
2020-08-05;Puissance moyenne journalière de la production télérelevée totale (W);3376248159.0
2020-08-09;Puissance moyenne journalière de la consommation totale HTA (W);8737975147.0
2020-08-09;Puissance moyenne journalière de la consommation télérelevée HTA (W);7951009538.0
2020-08-09;Puissance moyenne journalière de la production totale (W);4116176172.0
2020-08-09;Puissance moyenne journalière de la production cogénération profilée (W);23060.0
2020-08-10;Puissance moyenne journalière de la consommation télérelevée HTA (W);10327129174.0
2020-08-22;Puissance moyenne journalière de la consommation profilée BT INF 36 Professionnelle (W);3479077108.0
2020-08-26;Puissance moyenne journalière de la consommation télérelevée HTA (W);11919731414.0
2020-08-26;Puissance moyenne journalière de la consommation profilée HTA (W);1387047403.0
2020-09-13;Puissance moyenne journalière de la consommation profilée HTA (W);670633761.0
2020-09-13;Puissance moyenne journalière de la consommation profilée BT SUP 36 (W);3293815260.0
2020-09-13;Puissance moyenne journalière de la production hydraulique profilée (W);3244275.0
2020-09-17;Puissance moyenne journalière de la consommation totale (W);33816016926.0
2020-09-17;Puissance moyenne journalière de la consommation télérelevée HTA (W);12681798190.0
2020-09-17;Puissance moyenne journalière de la consommation profilée BT INF 36 Résidentielle (W);10802290050.0
2020-09-17;Puissance moyenne journalière de la production profilée totale (W);790402973.0
2020-09-18;Puissance moyenne journalière de la consommation totale (W);33124570610.0
2020-09-18;Puissance moyenne journalière de la consommation totale HTA (W);13539301511.0
2020-09-18;Puissance moyenne journalière de la consommation profilée HTA (W);1381109827.0
2020-09-18;Puissance moyenne journalière de la production totale (W);6661053613.0
2020-09-18;Puissance moyenne journalière de la production télérelevée totale (W);6061243293.0
2020-09-18;Puissance moyenne journalière de la production autres totale (W);824246389.0
2020-09-23;Puissance moyenne journalière de la consommation totale HTA (W);13724248580.0
2020-09-23;Puissance moyenne journalière de la consommation télérelevée BT SUP 36 (W);52658492.0
2020-09-23;Puissance moyenne journalière de la consommation télérelevée BT INF 36 Professionelle (W);404757.0
2020-09-23;Puissance moyenne journalière de la consommation profilée HTA (W);1445492487.0
2020-09-23;Puissance moyenne journalière de la production profilée totale (W);538785374.0
2020-09-29;Puissance moyenne journalière de la consommation télérelevée BT SUP 36 (W);50847725.0
2020-09-29;Puissance moyenne journalière de la production cogénération profilée (W);17190.0
2020-10-02;Puissance moyenne journalière de la consommation télérelevée HTA (W);11734670842.0
2020-10-02;Puissance moyenne journalière de la consommation profilée BT INF 36 Professionnelle (W);4405349292.0
2020-10-02;Puissance moyenne journalière de la production autres totale (W);1157429544.0
2020-10-05;Puissance moyenne journalière de la consommation profilée HTA (W);1345267765.0
2020-10-05;Puissance moyenne journalière de la consommation profilée BT SUP 36 (W);5113818592.0
2020-10-05;Puissance moyenne journalière de la consommation profilée BT INF 36 Professionnelle (W);4404798448.0
2020-10-08;Puissance moyenne journalière de la consommation télérelevée BT INF 36 Professionelle (W);535127.0
2020-10-08;Puissance moyenne journalière de la production télérelevée totale (W);8270404887.0
2020-10-08;Puissance moyenne journalière de la production cogénération profilée (W);17619.0
2020-11-08;Puissance moyenne journalière de la consommation totale HTA (W);8439444173.0
2020-11-08;Puissance moyenne journalière de la production profilée totale (W);373572938.0
2020-11-08;Puissance moyenne journalière de la production autres totale (W);1345061335.0
2020-11-18;Puissance moyenne journalière de la consommation profilée BT INF 36 Professionnelle (W);4434644941.0
2020-11-18;Puissance moyenne journalière de la production hydraulique profilée (W);8779731.0
2020-11-20;Puissance moyenne journalière de la consommation télérelevée BT INF 36 Professionelle (W);579832.0
2020-11-20;Puissance moyenne journalière de la consommation profilée HTA (W);1421812496.0
2020-11-20;Puissance moyenne journalière de la consommation profilée BT SUP 36 (W);5425107845.0
2020-11-20;Puissance moyenne journalière de la consommation profilée BT INF 36 Résidentielle (W);20668528616.0
2020-11-20;Puissance moyenne journalière de la production totale (W);5537642664.0
2020-11-20;Puissance moyenne journalière de la production autres profilée (W);3955290.0
2020-11-26;Puissance moyenne journalière de la consommation télérelevée BT SUP 36 (W);52344706.0
2020-11-26;Puissance moyenne journalière de la production télérelevée totale (W);4829978451.0
2020-12-08;Puissance moyenne journalière de la consommation télérelevée BT INF 36 Professionelle (W);852567.0
2020-12-08;Puissance moyenne journalière de la consommation profilée BT INF 36 Professionnelle (W);6276688524.0
2020-12-12;Puissance moyenne journalière de la production télérelevée totale (W);7895373748.0
2020-12-12;Puissance moyenne journalière de la production cogénération totale (W);1662206207.0
2020-12-12;Puissance moyenne journalière de la production autres totale (W);1405270166.0
2021-01-05;Puissance moyenne journalière de la production hydraulique profilée (W);5830764.0
2021-01-18;Puissance moyenne journalière de la consommation profilée BT INF 36 Professionnelle (W);6210887130.0
2021-01-20;Puissance moyenne journalière de la consommation profilée BT INF 36 Résidentielle (W);26042632617.0
2021-02-02;Puissance moyenne journalière de la consommation totale (W);45993261780.0
2021-02-02;Puissance moyenne journalière de la consommation totale HTA (W);13891973209.0
2021-02-02;Puissance moyenne journalière de la consommation télérelevée HTA (W);13570801207.0
2021-02-02;Puissance moyenne journalière de la consommation profilée BT INF 36 Résidentielle (W);20955611462.0
2021-02-02;Puissance moyenne journalière de la production cogénération totale (W);1698689344.0
2021-02-02;Puissance moyenne journalière de la production autres profilée (W);2228628.0
2021-02-15;Puissance moyenne journalière de la production cogénération totale (W);1710497701.0
2021-03-06;Puissance moyenne journalière de la consommation totale (W);43553198511.0
2021-03-06;Puissance moyenne journalière de la production autres totale (W);1618670690.0
2021-03-09;Puissance moyenne journalière de la consommation profilée BT SUP 36 (W);3502599296.0
2021-03-20;Puissance moyenne journalière de la consommation totale (W);44990765623.0
2021-03-20;Puissance moyenne journalière de la consommation totale HTA (W);10163674806.0
2021-03-20;Puissance moyenne journalière de la consommation profilée HTA (W);267359204.0
2021-03-20;Puissance moyenne journalière de la consommation profilée BT INF 36 Professionnelle (W);4906929786.0
2021-03-31;Puissance moyenne journalière de la production autres profilée (W);2138627.0
2021-04-03;Puissance moyenne journalière de la consommation profilée BT INF 36 Résidentielle (W);16821576457.0
2021-04-03;Puissance moyenne journalière de la production cogénération totale (W);16026152.0
2021-04-18;Puissance moyenne journalière de la consommation télérelevée BT INF 36 Professionelle (W);1393925.0
2021-04-18;Puissance moyenne journalière de la production cogénération totale (W);14031301.0
2021-04-23;Puissance moyenne journalière de la consommation télérelevée HTA (W);12209812256.0
2021-04-23;Puissance moyenne journalière de la consommation profilée BT INF 36 Résidentielle (W);14928088811.0
2021-04-23;Puissance moyenne journalière de la production télérelevée totale (W);7302046243.0
2021-04-23;Puissance moyenne journalière de la production cogénération profilée (W);64947.0
2021-04-26;Puissance moyenne journalière de la consommation télérelevée HTA (W);12061302978.0
2021-04-26;Puissance moyenne journalière de la production cogénération totale (W);20304996.0
2021-04-26;Puissance moyenne journalière de la production autres totale (W);1358550080.0
2021-04-29;Puissance moyenne journalière de la consommation totale HTA (W);12991247477.0
2021-04-29;Puissance moyenne journalière de la production télérelevée totale (W);3953488813.0
2021-04-29;Puissance moyenne journalière de la production hydraulique profilée (W);4074594.0
2021-05-01;Puissance moyenne journalière de la consommation profilée HTA (W);252369768.0
2021-05-01;Puissance moyenne journalière de la production cogénération totale (W);13718825.0
2021-05-05;Puissance moyenne journalière de la production autres profilée (W);2074599.0
2021-05-14;Puissance moyenne journalière de la consommation totale HTA (W);10360621227.0
2021-05-14;Puissance moyenne journalière de la consommation télérelevée HTA (W);10116459134.0
2021-05-14;Puissance moyenne journalière de la consommation profilée HTA (W);244162093.0
2021-05-14;Puissance moyenne journalière de la production autres totale (W);1690825871.0
2021-05-15;Puissance moyenne journalière de la consommation télérelevée HTA (W);8845533243.0
2021-05-18;Puissance moyenne journalière de la consommation profilée BT INF 36 Professionnelle (W);4066160862.0
2021-05-18;Puissance moyenne journalière de la production cogénération profilée (W);37491.0
2021-05-21;Puissance moyenne journalière de la consommation télérelevée BT INF 36 Résidentielle (W);74280039.0
2021-05-21;Puissance moyenne journalière de la consommation profilée BT SUP 36 (W);2741937462.0
2021-05-21;Puissance moyenne journalière de la production autres totale (W);1806634556.0
2021-05-23;Puissance moyenne journalière de la consommation totale (W);30039823177.0
2021-05-23;Puissance moyenne journalière de la consommation profilée BT INF 36 Professionnelle (W);3290159427.0
2021-05-23;Puissance moyenne journalière de la production hydraulique profilée (W);6485337.0
2021-05-24;Puissance moyenne journalière de la consommation télérelevée BT INF 36 Professionelle (W);1923927.0
2021-05-24;Puissance moyenne journalière de la production autres totale (W);1697537163.0
2021-06-04;Puissance moyenne journalière de la consommation totale HTA (W);12897121355.0
2021-06-05;Puissance moyenne journalière de la consommation télérelevée HTA (W);9333672109.0
2021-06-05;Puissance moyenne journalière de la consommation profilée BT INF 36 Résidentielle (W);11556364765.0
2021-06-09;Puissance moyenne journalière de la consommation télérelevée BT INF 36 Professionelle (W);1803793.0
2021-06-09;Puissance moyenne journalière de la consommation profilée BT INF 36 Professionnelle (W);3647740874.0
2021-06-13;Puissance moyenne journalière de la production autres totale (W);1289483752.0
2021-06-25;Puissance moyenne journalière de la consommation totale HTA (W);12955932412.0
2021-06-25;Puissance moyenne journalière de la production cogénération profilée (W);26945.0
2021-07-02;Puissance moyenne journalière de la consommation profilée HTA (W);272560237.0
2021-07-06;Puissance moyenne journalière de la consommation télérelevée BT INF 36 Résidentielle (W);60733462.0
2021-07-06;Puissance moyenne journalière de la production cogénération totale (W);9867014.0
2021-07-27;Puissance moyenne journalière de la production profilée totale (W);546466658.0
2021-07-27;Puissance moyenne journalière de la production autres totale (W);1235415168.0
2021-08-05;Puissance moyenne journalière de la production télérelevée totale (W);6042088934.0
2021-08-07;Puissance moyenne journalière de la production autres profilée (W);3552882.0
2021-08-13;Puissance moyenne journalière de la consommation télérelevée BT SUP 36 (W);1986084594.0
2021-08-13;Puissance moyenne journalière de la consommation télérelevée BT INF 36 Professionelle (W);2393369.0
2021-08-22;Puissance moyenne journalière de la consommation totale (W);26689207560.0
2021-09-07;Puissance moyenne journalière de la consommation profilée BT INF 36 Professionnelle (W);4054586092.0
2021-09-07;Puissance moyenne journalière de la production cogénération totale (W);11046391.0
2021-09-14;Puissance moyenne journalière de la production totale (W);4171932163.0
2021-09-28;Puissance moyenne journalière de la consommation télérelevée BT INF 36 Professionelle (W);3765750.0
2021-09-28;Puissance moyenne journalière de la consommation profilée HTA (W);278155602.0
2021-09-28;Puissance moyenne journalière de la consommation profilée BT INF 36 Résidentielle (W);11175999071.0
2021-10-15;Puissance moyenne journalière de la consommation télérelevée BT SUP 36 (W);2209475426.0
2021-10-15;Puissance moyenne journalière de la production autres totale (W);975388785.0
2021-10-25;Puissance moyenne journalière de la consommation totale HTA (W);13094940898.0
2021-10-25;Puissance moyenne journalière de la consommation profilée BT SUP 36 (W);3075132335.0
2021-10-29;Puissance moyenne journalière de la consommation télérelevée BT INF 36 Résidentielle (W);115199945.0
2021-10-29;Puissance moyenne journalière de la consommation profilée HTA (W);285477202.0
2021-10-29;Puissance moyenne journalière de la consommation profilée BT INF 36 Professionnelle (W);4596136466.0
2021-11-11;Puissance moyenne journalière de la consommation télérelevée HTA (W);10477938651.0
2021-11-11;Puissance moyenne journalière de la consommation télérelevée BT INF 36 Résidentielle (W);180509093.0
2021-11-14;Puissance moyenne journalière de la consommation totale HTA (W);9101925347.0
2021-11-14;Puissance moyenne journalière de la consommation profilée BT SUP 36 (W);2501963373.0
2021-11-14;Puissance moyenne journalière de la consommation profilée BT INF 36 Professionnelle (W);4201049898.0
2021-11-14;Puissance moyenne journalière de la production totale (W);5605355033.0
2021-11-14;Puissance moyenne journalière de la production télérelevée totale (W);5462061428.0
2021-11-16;Puissance moyenne journalière de la consommation profilée BT SUP 36 (W);3715730314.0
2021-11-17;Puissance moyenne journalière de la consommation télérelevée HTA (W);14038873440.0
2021-11-17;Puissance moyenne journalière de la consommation télérelevée BT SUP 36 (W);2513583306.0
2021-11-17;Puissance moyenne journalière de la production profilée totale (W);149638116.0
2021-11-19;Puissance moyenne journalière de la consommation télérelevée BT SUP 36 (W);2510364083.0
2021-11-19;Puissance moyenne journalière de la consommation télérelevée BT INF 36 Professionelle (W);5606443.0
2021-11-19;Puissance moyenne journalière de la consommation profilée HTA (W);318726960.0
2021-11-25;Puissance moyenne journalière de la consommation profilée BT INF 36 Professionnelle (W);6173612494.0
2021-11-25;Puissance moyenne journalière de la production cogénération profilée (W);351788.0
2021-11-26;Puissance moyenne journalière de la consommation profilée BT SUP 36 (W);4080111792.0
2021-11-26;Puissance moyenne journalière de la production autres profilée (W);2076944.0
2021-12-17;Puissance moyenne journalière de la consommation télérelevée BT SUP 36 (W);2761377649.0
2021-12-17;Puissance moyenne journalière de la consommation télérelevée BT INF 36 Professionelle (W);6544717.0
2021-12-17;Puissance moyenne journalière de la production totale (W);10095670161.0
2021-12-17;Puissance moyenne journalière de la production autres profilée (W);2215434.0
2021-12-22;Puissance moyenne journalière de la consommation profilée HTA (W);361972801.0
2021-12-22;Puissance moyenne journalière de la consommation profilée BT INF 36 Professionnelle (W);6830229745.0
2021-12-22;Puissance moyenne journalière de la production autres totale (W);1424936634.0
2022-01-01;Puissance moyenne journalière de la consommation totale HTA (W);8101920972.0
2022-01-01;Puissance moyenne journalière de la consommation télérelevée BT INF 36 Résidentielle (W);182031768.0
2022-01-01;Puissance moyenne journalière de la consommation profilée BT INF 36 Résidentielle (W);20706770011.0
2022-01-01;Puissance moyenne journalière de la production cogénération totale (W);1547135802.0
2022-01-02;Puissance moyenne journalière de la consommation totale (W);38744742504.0
2022-01-02;Puissance moyenne journalière de la consommation télérelevée HTA (W);8171402076.0
2022-01-02;Puissance moyenne journalière de la production totale (W);12558454814.0
2022-01-09;Puissance moyenne journalière de la consommation totale HTA (W);9796634995.0
2022-01-09;Puissance moyenne journalière de la consommation télérelevée BT INF 36 Professionelle (W);6049883.0
2022-01-09;Puissance moyenne journalière de la consommation profilée BT SUP 36 (W);2855692282.0
2022-01-09;Puissance moyenne journalière de la production totale (W);9409413786.0
2022-01-09;Puissance moyenne journalière de la production télérelevée totale (W);9298902449.0
2022-01-10;Puissance moyenne journalière de la consommation totale (W);52990489309.0
2022-01-10;Puissance moyenne journalière de la production cogénération profilée (W);353152.0
2022-01-10;Puissance moyenne journalière de la production autres profilée (W);2123861.0
2022-01-14;Puissance moyenne journalière de la production cogénération totale (W);1697877537.0
2022-01-15;Puissance moyenne journalière de la consommation totale (W);55011666880.0
2022-01-15;Puissance moyenne journalière de la consommation télérelevée BT INF 36 Résidentielle (W);302812234.0
2022-01-15;Puissance moyenne journalière de la consommation profilée BT SUP 36 (W);3634590263.0
2022-01-15;Puissance moyenne journalière de la production totale (W);5128216501.0
2022-01-20;Puissance moyenne journalière de la consommation télérelevée BT INF 36 Résidentielle (W);259710769.0
2022-01-20;Puissance moyenne journalière de la consommation profilée BT INF 36 Résidentielle (W);27423139308.0
2022-01-23;Puissance moyenne journalière de la consommation profilée HTA (W);297413089.0
2022-01-25;Puissance moyenne journalière de la consommation profilée HTA (W);379198967.0
2022-01-25;Puissance moyenne journalière de la consommation profilée BT SUP 36 (W);4382987564.0
2022-01-25;Puissance moyenne journalière de la production cogénération totale (W);2174525214.0
2022-01-25;Puissance moyenne journalière de la production hydraulique profilée (W);6006839.0
2022-01-26;Puissance moyenne journalière de la consommation totale HTA (W);15201475021.0
2022-01-26;Puissance moyenne journalière de la consommation profilée BT SUP 36 (W);4329481015.0
2022-01-26;Puissance moyenne journalière de la production profilée totale (W);288850288.0
2022-01-26;Puissance moyenne journalière de la production autres profilée (W);4348391.0
2022-02-11;Puissance moyenne journalière de la production profilée totale (W);447557222.0
2022-02-11;Puissance moyenne journalière de la production cogénération totale (W);1668833220.0
2022-02-11;Puissance moyenne journalière de la production cogénération profilée (W);358978.0
2022-02-27;Puissance moyenne journalière de la production profilée totale (W);621439969.0
2022-02-27;Puissance moyenne journalière de la production autres totale (W);1468496233.0
2022-03-01;Puissance moyenne journalière de la production télérelevée totale (W);6252578617.0
2022-03-01;Puissance moyenne journalière de la production profilée totale (W);501993560.0
2022-03-01;Puissance moyenne journalière de la production hydraulique profilée (W);5818897.0
2022-03-10;Puissance moyenne journalière de la consommation télérelevée HTA (W);13758491336.0
2022-03-10;Puissance moyenne journalière de la consommation profilée HTA (W);312669368.0
2022-03-10;Puissance moyenne journalière de la production totale (W);8267203859.0
2022-04-20;Puissance moyenne journalière de la consommation totale HTA (W);13119620060.0
2022-04-28;Puissance moyenne journalière de la consommation télérelevée BT INF 36 Résidentielle (W);113549762.0
2022-04-28;Puissance moyenne journalière de la production totale (W);8011424840.0
2022-04-28;Puissance moyenne journalière de la production télérelevée totale (W);7222194466.0
2022-04-28;Puissance moyenne journalière de la production profilée totale (W);789230375.0
2022-05-01;Puissance moyenne journalière de la consommation totale HTA (W);8099798655.0
2022-05-01;Puissance moyenne journalière de la production cogénération totale (W);91859795.0
2022-05-09;Puissance moyenne journalière de la consommation totale (W);32681332491.0
2022-05-09;Puissance moyenne journalière de la consommation profilée HTA (W);273279172.0
2022-05-09;Puissance moyenne journalière de la production totale (W);5859976207.0
2022-05-09;Puissance moyenne journalière de la production profilée totale (W);971260992.0
2022-05-14;Puissance moyenne journalière de la consommation profilée BT INF 36 Professionnelle (W);3435909930.0
2022-05-14;Puissance moyenne journalière de la production profilée totale (W);954033710.0
2022-06-02;Puissance moyenne journalière de la consommation télérelevée BT INF 36 Résidentielle (W);98301599.0
2022-06-02;Puissance moyenne journalière de la consommation profilée BT INF 36 Professionnelle (W);3808600990.0
2022-06-02;Puissance moyenne journalière de la production autres profilée (W);1926554.0
2022-06-07;Puissance moyenne journalière de la consommation totale (W);32603565155.0
2022-06-07;Puissance moyenne journalière de la consommation profilée BT SUP 36 (W);2804482083.0
2022-06-07;Puissance moyenne journalière de la consommation profilée BT INF 36 Résidentielle (W);10723350101.0
2022-06-07;Puissance moyenne journalière de la production profilée totale (W);797514797.0
2022-06-07;Puissance moyenne journalière de la production autres totale (W);1198872558.0
2022-06-07;Puissance moyenne journalière de la production cogénération profilée (W);46762.0
2022-06-08;Puissance moyenne journalière de la production totale (W);7534110983.0
2022-06-11;Puissance moyenne journalière de la consommation télérelevée BT INF 36 Professionelle (W);2522727.0
2022-06-11;Puissance moyenne journalière de la production totale (W);5330586834.0
2022-06-14;Puissance moyenne journalière de la consommation totale HTA (W);14099968216.0
2022-06-14;Puissance moyenne journalière de la consommation télérelevée BT INF 36 Professionelle (W);2531408.0
2022-06-14;Puissance moyenne journalière de la consommation profilée BT SUP 36 (W);2872579436.0
2022-06-14;Puissance moyenne journalière de la production cogénération profilée (W);21871.0
2022-06-21;Puissance moyenne journalière de la consommation télérelevée HTA (W);13936032633.0
2022-06-21;Puissance moyenne journalière de la consommation profilée BT INF 36 Résidentielle (W);10890484563.0
2022-06-21;Puissance moyenne journalière de la production totale (W);5351206673.0
2022-06-29;Puissance moyenne journalière de la consommation télérelevée BT SUP 36 (W);2177520964.0
2022-06-29;Puissance moyenne journalière de la consommation télérelevée BT INF 36 Résidentielle (W);104365642.0
2022-07-05;Puissance moyenne journalière de la consommation totale (W);34058144755.0
2022-07-05;Puissance moyenne journalière de la production totale (W);6601747634.0
2022-07-05;Puissance moyenne journalière de la production autres totale (W);1041070308.0
2022-07-17;Puissance moyenne journalière de la consommation télérelevée BT INF 36 Résidentielle (W);109938683.0
2022-07-17;Puissance moyenne journalière de la consommation profilée BT SUP 36 (W);2223792576.0
2022-07-29;Puissance moyenne journalière de la consommation télérelevée BT SUP 36 (W);2215366964.0
2022-07-31;Puissance moyenne journalière de la consommation télérelevée BT INF 36 Résidentielle (W);107360928.0
2022-07-31;Puissance moyenne journalière de la consommation profilée HTA (W);258088671.0
2022-07-31;Puissance moyenne journalière de la production télérelevée totale (W);5428537810.0
2022-08-13;Puissance moyenne journalière de la consommation totale (W);29122272074.0
2022-08-13;Puissance moyenne journalière de la consommation totale HTA (W);9762880371.0
2022-08-13;Puissance moyenne journalière de la consommation télérelevée HTA (W);9516879603.0
2022-08-13;Puissance moyenne journalière de la production cogénération totale (W);50171997.0
2022-08-24;Puissance moyenne journalière de la production cogénération totale (W);147367054.0
2022-08-25;Puissance moyenne journalière de la consommation télérelevée BT INF 36 Résidentielle (W);103053400.0
2022-08-25;Puissance moyenne journalière de la production télérelevée totale (W);5136317895.0
2022-08-25;Puissance moyenne journalière de la production autres profilée (W);2497398.0
2022-09-21;Puissance moyenne journalière de la production autres profilée (W);2914893.0
2022-09-22;Puissance moyenne journalière de la consommation télérelevée BT INF 36 Résidentielle (W);109495015.0
2022-09-22;Puissance moyenne journalière de la consommation profilée BT SUP 36 (W);2683040119.0
2022-09-22;Puissance moyenne journalière de la production totale (W);4603050397.0
2022-11-03;Puissance moyenne journalière de la consommation totale HTA (W);12765614991.0
2022-11-06;Puissance moyenne journalière de la consommation télérelevée HTA (W);8290340101.0
2022-11-08;Puissance moyenne journalière de la consommation télérelevée HTA (W);12909902927.0
2022-11-08;Puissance moyenne journalière de la consommation télérelevée BT INF 36 Professionelle (W);5249521.0
2022-11-13;Puissance moyenne journalière de la consommation totale (W);31765547981.0
2022-11-13;Puissance moyenne journalière de la consommation profilée HTA (W);207820744.0
2022-11-24;Puissance moyenne journalière de la consommation télérelevée HTA (W);13306987251.0
2022-11-24;Puissance moyenne journalière de la consommation télérelevée BT INF 36 Professionelle (W);5875898.0
2022-11-24;Puissance moyenne journalière de la consommation télérelevée BT INF 36 Résidentielle (W);230330209.0
2022-11-24;Puissance moyenne journalière de la consommation profilée HTA (W);281037514.0
2022-11-24;Puissance moyenne journalière de la consommation profilée BT INF 36 Professionnelle (W);5089047276.0
2022-11-24;Puissance moyenne journalière de la production autres totale (W);1509284022.0
2022-11-28;Puissance moyenne journalière de la consommation totale (W);43382926242.0
2022-12-13;Puissance moyenne journalière de la production totale (W);7674226828.0
2022-12-14;Puissance moyenne journalière de la consommation profilée BT INF 36 Professionnelle (W);6340055154.0
2022-12-14;Puissance moyenne journalière de la production autres profilée (W);1670210.0
2023-01-02;Puissance moyenne journalière de la consommation totale HTA (W);10351751902.0
2023-01-02;Puissance moyenne journalière de la consommation télérelevée BT SUP 36 (W);4814748442.0
2023-01-02;Puissance moyenne journalière de la production profilée totale (W);52072188.0
2023-01-02;Puissance moyenne journalière de la production cogénération totale (W);1544152595.0
2023-01-02;Puissance moyenne journalière de la production autres totale (W);1481346624.0
2023-01-29;Puissance moyenne journalière de la consommation profilée BT SUP 36 (W);34482428.0
2023-02-12;Puissance moyenne journalière de la consommation profilée BT INF 36 Professionnelle (W);4669843557.0
2023-02-19;Puissance moyenne journalière de la production profilée totale (W);175821032.0
2023-02-21;Puissance moyenne journalière de la production hydraulique profilée (W);1429298.0
2023-02-23;Puissance moyenne journalière de la production totale (W);5978282141.0
2023-05-02;Puissance moyenne journalière de la consommation totale (W);32375602056.0
2023-05-02;Puissance moyenne journalière de la production cogénération totale (W);118676048.0
2023-05-05;Puissance moyenne journalière de la production hydraulique profilée (W);1320616.0
2023-05-08;Puissance moyenne journalière de la consommation télérelevée HTA (W);8630928107.0
2023-05-08;Puissance moyenne journalière de la consommation télérelevée BT SUP 36 (W);3323365721.0
